Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
inter-de-milan-02-03-retro-home,Inter de Milán 02/03 Retro Home,"Inter de Milán 02/03 Retro Home<br><br>Camiseta retro Inter de Milán - Temporada 02/03<br>Tipo: Home<br>Liga: Serie A<br><br>Material de alta qualidade<br>Design clássico retro<br>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL<br><br>🔥 BLACK NOVEMBER - 33% OFF!",Retrobox,Apparel & Accessories > Clothing,Camiseta Retro,"Inter de Milán, Futebol, Home, Jersey, Retro, Serie A",TRUE,Tamanho,S,inter-de-milan-02-03-retro-home-s,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,Inter de Milán 02/03 Retro Home - Imagem Principal,FALSE,Inter de Milán 02/03 Retro Home | Retrobox Argentina,Comprar Inter de Milán 02/03 Retro Home - Camiseta retro oficial. Serie A. Tamanhos S a 3XL. Envio para toda Argentina.,,kg,active
inter-de-milan-02-03-retro-home,,,,,,,,Tamanho,M,inter-de-milan-02-03-retro-home-m,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
inter-de-milan-02-03-retro-home,,,,,,,,Tamanho,L,inter-de-milan-02-03-retro-home-l,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
inter-de-milan-02-03-retro-home,,,,,,,,Tamanho,XL,inter-de-milan-02-03-retro-home-xl,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
inter-de-milan-02-03-retro-home,,,,,,,,Tamanho,XXL,inter-de-milan-02-03-retro-home-xxl,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
inter-de-milan-02-03-retro-home,,,,,,,,Tamanho,3XL,inter-de-milan-02-03-retro-home-3xl,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
inter-de-milan-02-03-retro-third,Inter de Milán 02/03 Retro Third,"Inter de Milán 02/03 Retro Third<br><br>Camiseta retro Inter de Milán - Temporada 02/03<br>Tipo: Third<br>Liga: Serie A<br><br>Material de alta qualidade<br>Design clássico retro<br>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL<br><br>🔥 BLACK NOVEMBER - 33% OFF!",Retrobox,Apparel & Accessories > Clothing,Camiseta Retro,"Inter de Milán, Futebol, Third, Jersey, Retro, Serie A",TRUE,Tamanho,S,inter-de-milan-02-03-retro-third-s,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,Inter de Milán 02/03 Retro Third - Imagem Principal,FALSE,Inter de Milán 02/03 Retro Third | Retrobox Argentina,Comprar Inter de Milán 02/03 Retro Third - Camiseta retro oficial. Serie A. Tamanhos S a 3XL. Envio para toda Argentina.,,kg,active
inter-de-milan-02-03-retro-third,,,,,,,,Tamanho,M,inter-de-milan-02-03-retro-third-m,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
inter-de-milan-02-03-retro-third,,,,,,,,Tamanho,L,inter-de-milan-02-03-retro-third-l,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
inter-de-milan-02-03-retro-third,,,,,,,,Tamanho,XL,inter-de-milan-02-03-retro-third-xl,200,shopify,10,deny,manual,36900.00,,TRUE,TRUE,,,,,,,,,kg,
